,RDA1,RDA2
Fe2O3,0.6603925003782388,0.29531015656398574
SiO2,0.10870497181472374,0.5468751668491133
Al2O3,0.5159692045917763,0.0044209160281636385
TOT/S,-0.2285353984876752,-0.024665550407181304
Cu,0.6495362099618248,-0.15542011061939398
Pb,0.8711662137367384,-0.030180149032557987
